,Filename,Code,Year,so_chu_de,so_chu_de_phan_biet,so_tu_de,so_tu_de_phan_biet,so_tu_muon,so_tu_muon_phan_biet,so_tu_co_1_nghia,so_tu_co_1_pos,so_tu_co_2_nghia,so_tu_co_2_pos,so_tu_co_3_nghia,so_tu_co_3_pos,so_tu_co_nhieu_pos,so_tu_da_nghia,tong_so_tu_loai_cua_tat_ca_cac_t,tong_tan_suat_chu,tong_tan_suat_chu_phan_biet,tong_tan_suat_tu,tong_tan_suat_tu_phan_biet,tong_thu_hang_chu,tong_thu_hang_chu_phan_biet,tong_thu_hang_tu,tong_thu_hang_tu_phan_biet,so_tu_dia_phuong,so_tu_dia_phuong_phan_biet,so_tu_han_viet,so_tu_han_viet_1_chu,so_tu_han_viet_2_chu,so_tu_han_viet_3_chu,so_tu_han_viet_nhieu_chu,so_tu_han_viet_phan_biet,so_cau,so_cau_duoi_10_tu,so_cau_duoi_13_chu,so_cau_tu_10_tu,so_cau_tu_13_chu,so_chu,so_chu_phan_biet,so_ky_tu,so_tu,so_tu_1_chu,so_tu_2_chu,so_tu_3_chu,so_tu_nhieu_chu,so_tu_phan_biet,CodeYear,dup,FirmName,StockExchange,GroupInd,TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Ind_Name,Name_Person,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,IndName,INDB,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
186,,CKV,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CKV2018,0.0,CTCP COKYVINA,HNX,Bán buôn hàng lâu bền,207632284666,120464175056,87168109610,5835878992,4812185168,-345481790,268132023133,268088523133,HNX,601,Bán buôn hàng lâu bền,Phạm Ngọc Ninh,1,CTHĐQT,1962,1,1,82020,0,2005,1,0,0,0,,0,0,601,Bán buôn hàng lâu bền,4,5,502430,12.40567901234568,0,0,408600,10.18,460000,11.47,1984500,49.46,49.46
187,,CKV,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CKV2019,0.0,CTCP COKYVINA,HNX,Bán buôn hàng lâu bền,188496511938,100479172238,88017339700,6539326188,5332619090,138157553,392202866866,392202866866,HNX,601,Bán buôn hàng lâu bền,Phạm Ngọc Ninh,1,CTHĐQT,1962,1,1,82020,0,2005,1,0,0,0,,0,0,601,Bán buôn hàng lâu bền,4,5,523930,12.93654320987654,0,0,468100,11.56,459800,11.35,1984500,49,49
188,,CLC,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLC2018,0.0,CTCP Cát Lợi,HoSE,Sản xuất đồ uống và thuốc lá,1013585972356,376849828044,636736144312,187119972713,148537916615,380043182,2070206467310,2070206467310,HOSE,502,Sản xuất đồ uống và thuốc lá,Hà Quang Hoà,1,CTHĐQT,1976,2,1,0,0,,1,0,0,0,,0,0,502,Sản xuất đồ uống và thuốc lá,4,5,1192881,4.55166353951831,0,0,0,0,0,0,15038620,57.38,57.38
189,,CLC,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLC2019,0.0,CTCP Cát Lợi,HoSE,Sản xuất đồ uống và thuốc lá,1024371429864,331408625707,692962804157,177377521967,140546590989,2562251834,1928712476911,1928712476911,HOSE,502,Sản xuất đồ uống và thuốc lá,Hà Quang Hoà,1,CTHĐQT,1976,2,1,0,0,,1,0,0,0,,0,0,502,Sản xuất đồ uống và thuốc lá,4,5,1128221,4.304941054655822,0,0,0,0,0,0,15038620,57.38,57.38
190,CLG_Baocaothuongnien_2018.txt,CLG,2018,9175.0,425.0,3080.0,224.0,3436.0,619.0,1932.0,3171.0,1385.0,2014.0,780.0,1185.0,4023.0,4916.0,16696.0,49694.7321746462,9540.26213112116,53593.3748070819,13773.003525349,9766988.0,3124308.0,19015733.3748073,5412535.50352535,104.0,29.0,3272.0,743.0,2429.0,100.0,2529.0,604.0,1769.0,1515.0,1489.0,254.0,280.0,13597.0,1755.0,48132.0,9464.0,5637.0,3563.0,224.0,3827.0,2050.0,CLG2018,0.0,,,,,,,,,,,,,401,"Xây dựng nhà cửa, cao ốc",Nguyễn Thế Thanh,1,CTHĐQT/TGĐ,1972,1,1,33690,1,2001,1,1,0,0,0,1,0,401,"Xây dựng nhà cửa, cao ốc",2,3,1948350,9.21205673758865,0,0,0,0,2500000,11.82,11590000,54.8,0
191,CLG_Baocaothuongnien_2019.txt,CLG,2019,6915.0,411.0,2122.0,206.0,2608.0,522.0,1481.0,2371.0,1039.0,1483.0,531.0,862.0,2917.0,3535.0,12253.0,37933.9600551311,7803.62593989209,40978.1181088569,11223.465091723,7561685.0,2483959.0,14862445.618109,4388598.46509171,91.0,27.0,2513.0,566.0,1880.0,67.0,1947.0,510.0,1510.0,1332.0,1315.0,178.0,195.0,10263.0,1469.0,35913.0,7069.0,4111.0,2756.0,170.0,2958.0,1685.0,CLG2019,0.0,,,,,,,,,,,,,401,"Xây dựng nhà cửa, cao ốc",Nguyễn Thế Thanh,1,CTHĐQT/TGĐ,1972,1,1,33690,1,2001,1,1,0,0,0,1,0,401,"Xây dựng nhà cửa, cao ốc",0,3,41100,.1943262411347518,0,0,0,0,0,0,11590000,54.8,0
192,,CLH,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLH2018,0.0,CTCP Xi măng La Hiên VVMI,HNX,Sản xuất sản phẩm khoáng chất phi kim,347578539881,183806925029,163771614852,39132131116,31192503259,474984727,720636711235,720636711235,HNX,513,Sản xuất sản phẩm khoáng chất phi kim,Đỗ Huy Hùng,1,CTHĐQT,1962,1,1,0,0,,1,0,0,0,,0,0,513,Sản xuất sản phẩm khoáng chất phi kim,4,5,17800,.178,0,0,0,0,0,0,5138300,51.38,0
193,,CLH,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLH2019,0.0,CTCP Xi măng La Hiên VVMI,HNX,Sản xuất sản phẩm khoáng chất phi kim,309265117251,134514767132,174750350119,47971632306,38288425845,90611172,689684527536,689684527536,HNX,513,Sản xuất sản phẩm khoáng chất phi kim,Đỗ Huy Hùng,1,CTHĐQT,1962,1,1,0,0,,1,0,0,0,,0,0,513,Sản xuất sản phẩm khoáng chất phi kim,4,5,14700,.147,0,0,0,0,0,0,5138300,51.38,0
194,,CLL,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLL2018,0.0,CTCP Cảng Cát Lái,HoSE,Hỗ trợ vận tải,703693925366,79738888752,623955036614,114860730081,91842072099,-413072199,378435694351,378435694351,HOSE,808,Hỗ trợ vận tải,Bùi Sĩ Tuấn,1,CTHĐQT,0,1,1,0,0,,1,0,0,0,,0,0,808,Hỗ trợ vận tải,5,6,2458611,7.23120882352941,0,0,0,0,0,0,16214920,47.7,47.7
195,,CLL,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLL2019,0.0,CTCP Cảng Cát Lái,HoSE,Hỗ trợ vận tải,698453783500,66755050274,631698733226,112933759546,90267069555,212731566,350194092278,350194092278,HOSE,808,Hỗ trợ vận tải,Nguyễn Phương Nam,1,CTHĐQT,0,2,1,0,0,,1,0,0,0,,0,0,808,Hỗ trợ vận tải,4,6,2470701,7.266767647058823,0,0,0,0,0,0,16214920,47.7,47.7
