const,SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CHAIR,Duality,CEO1,BSIZE
1.0,27.494031177996593,4.54770654018544,2.425412691244464,1.611951773294246,0.8690573080915015,2.0,0.0,1.0,1.0,1.0,3.0
1.0,30.11388401200731,2.101035187972035,1.8381244955392628,2.6572551664167383,9.572201950018874,1.0,0.0,0.0,1.0,0.0,9.0
1.0,30.378054822565357,1.0401153117826965,0.9442291614820999,1.689327878337731,10.659018164428272,2.0,0.0,1.0,0.0,0.0,5.0
1.0,27.8874214777842,0.006451940755116873,0.0030910859979959085,0.0041652704944115816,0.07734274143042044,7.0,0.0,0.0,0.0,0.0,5.0
1.0,28.94407251528072,0.04019441848213308,0.016241031526708256,0.01780818065495859,0.1621320441386739,14.0,65.0,0.0,0.0,0.0,5.0
1.0,28.83625212837856,0.17885689522613338,0.14901599499599139,0.11475475701764426,3.2790894596031026,14.0,65.0,0.0,0.0,0.0,5.0
1.0,26.986662194774315,0.007995906002599092,0.005894332294848742,0.004513563813004496,0.42013187457151063,2.0,0.0,1.0,0.0,0.0,5.0
1.0,28.664988211103125,0.4660284536630767,0.340822865523178,0.30073987593715273,0.2857759994898935,77.0,0.0,0.0,0.0,0.0,5.0
1.0,28.678308530763115,1.1549405818877203,0.32714989901491176,1.2367473386438566,0.29453906691326115,81.0,0.0,0.0,0.0,0.0,5.0
1.0,26.308606308875113,0.01428366919686417,0.004567854011566913,0.0026608100872938896,0.018050051580632144,0.0,20.0,0.0,0.0,0.0,4.0
1.0,26.317921452911705,0.016972267818872244,0.005865563034040144,0.0031922896132528214,0.01951772126033324,0.0,20.0,0.0,0.0,0.0,5.0
1.0,28.26733865212735,0.8694316922589836,0.26153383149301235,0.22610392497509324,1.526509574303951,10.0,0.0,0.0,0.0,0.0,5.0
1.0,27.385988487194123,0.037677047235343264,0.032873297400256025,0.02358540247293119,0.10351006329564043,30.0,0.0,0.0,1.0,0.0,5.0
1.0,27.520710591388656,0.030704926723174368,0.026604019586232548,0.01748054371089193,0.13464355014719764,31.0,0.0,0.0,1.0,0.0,5.0
1.0,28.40311347902467,0.2165037709162947,0.16198928625356954,0.1852940108467039,6.908938763410396,0.0,0.0,0.0,0.0,0.0,5.0
1.0,28.28342442391664,0.017362855919232353,0.013158034842091566,0.013113038524237888,6.065208097105787,0.0,0.0,0.0,0.0,0.0,5.0
1.0,26.157315297797687,0.004785910951299984,0.0027560065027440977,0.004703944579738946,0.06499039433503924,0.0,0.0,0.0,0.0,0.0,5.0
1.0,25.746764706025548,0.006483290653962261,0.004072049826301715,0.004412241841366794,0.007921551793263905,0.0,53.0,0.0,0.0,0.0,7.0
1.0,25.75126942520376,0.008066526621912573,0.004610233851372779,0.0051473079067413195,0.00645470039059534,0.0,53.0,0.0,0.0,0.0,7.0
1.0,28.879440378463425,1.2848092647268181,0.19181579178391067,0.4650421640319748,0.9305915565843764,0.0,0.0,0.0,0.0,0.0,7.0
1.0,29.03099153203128,1.7103315217579556,0.257152305809442,0.5519337819409358,1.2794833736947635,0.0,0.0,0.0,0.0,0.0,5.0
1.0,27.4103158396044,0.30322487932364783,0.1406767533558878,0.16172277619138428,1.1596202117210521,5.0,0.0,0.0,1.0,0.0,5.0
1.0,27.5648385774681,0.2701794768560014,0.12218277657560106,0.10895714251375488,1.141688284615741,5.0,0.0,0.0,1.0,0.0,4.0
1.0,27.656016121817846,0.23215592703544619,0.22268279421094891,0.5100807576668027,4.912756183280463,0.0,0.0,0.0,0.0,0.0,5.0
1.0,27.469582778851017,0.23140032247849804,0.22263571005975313,0.4879751690936968,3.702105773514689,0.0,0.0,0.0,0.0,0.0,5.0
1.0,29.71512178698911,0.4132626211116777,0.17441482080904952,0.07112136147268208,1.2544686541380785,16.0,0.0,0.0,0.0,0.0,5.0
1.0,26.874499536377837,0.018212200519308257,0.0071782050775817,0.0032233811882843707,0.018784118860786965,3.0,0.0,0.0,0.0,0.0,5.0
1.0,27.4705894184105,0.004326677652788577,0.002893503075616651,0.007032891960126446,0.6431798372223808,0.0,0.0,0.0,0.0,0.0,6.0
1.0,25.520485113486966,-0.004977862740668223,-0.00135385573728921,-0.003178815161709173,0.061673050763183815,1.0,0.0,0.0,1.0,0.0,5.0
1.0,25.45450463817766,0.00011699496981187516,3.930552731811136e-05,7.057613785274015e-05,0.065180727468772,1.0,0.0,0.0,1.0,0.0,5.0
1.0,27.154852924754934,-9.04011312828207e-05,-4.1230944862492165e-05,-7.283171547565411e-05,0.046617421640936824,2.0,0.0,0.0,0.0,0.0,4.0
1.0,27.498977758487463,0.20545208885469,0.17210535020754492,0.27604523868129915,1.572323224574682,0.0,0.0,0.0,0.0,0.0,5.0
1.0,27.984350469616185,0.23141546646784295,0.09127991721062814,3.1876564578314226,1.2671523968742955,2.0,0.0,0.0,0.0,0.0,6.0
1.0,27.45124112661399,0.18159028120884377,0.025455703503767,0.10886198916180154,0.06640387857408508,22.0,0.0,1.0,0.0,0.0,5.0
1.0,28.47616379844456,5.523742552529303,2.6411741889694897,15.970850401413172,6.924529391861223,26.0,0.0,0.0,0.0,0.0,6.0
1.0,28.61742355982076,6.7747076699349105,3.462260657992172,7.678222154126022,6.907419161465496,28.0,0.0,0.0,0.0,0.0,5.0
1.0,28.984099896937007,0.05339455381007636,0.02118714022335666,0.04676259028404528,4.302537675538791,3.0,51.0,0.0,0.0,0.0,5.0
1.0,28.970229110591,0.3789228884682628,0.05985343925103532,0.049378411199397475,2.9385726170057618,2.0,51.0,0.0,0.0,0.0,4.0
1.0,27.751281081459823,0.7381092002740458,0.17857494030060403,0.2673183112333514,0.20043264503441494,20.0,65.0,0.0,0.0,0.0,5.0
1.0,26.967646307035583,0.05387131955405003,0.034644615466560696,0.015910018287956993,0.3496685634397585,6.0,0.0,0.0,0.0,0.0,5.0
1.0,30.453774057890904,2.782360569731713,1.801014494827364,0.7089828622928196,10.565353117651828,45.0,0.0,0.0,0.0,0.0,7.0
1.0,30.415958281349194,8.221505506660444,4.438459905601478,2.2063230483709786,48.256311964638016,48.0,0.0,0.0,0.0,0.0,7.0
1.0,29.119483903405822,0.08626547769332009,0.05517736040303912,0.07614480968242866,1.2713813882172047,24.0,0.0,0.0,0.0,0.0,7.0
1.0,29.141001058357435,0.04425079856956197,0.03132079367721148,0.03632062406256622,1.144847980847041,24.0,0.0,0.0,0.0,0.0,7.0
1.0,27.03130598896115,0.011699282914703032,0.003618525689526842,0.0035974578032261216,0.11757957470563303,0.0,20.0,1.0,1.0,1.0,7.0
1.0,25.440308291037805,0.010769270889003497,0.0035020830648162223,0.003133276364476143,0.007431476971818806,31.0,45.0,1.0,0.0,0.0,5.0
1.0,27.953039395579612,0.06405364656458737,0.04784568118000691,0.03397913186652645,0.6749217496165066,4.0,0.0,0.0,1.0,0.0,5.0
1.0,28.10981722776196,0.2384010381024137,0.10319773771427462,0.09127765024837778,1.8285104152511114,4.0,0.0,0.0,1.0,0.0,5.0
1.0,27.943939555548404,0.00646954691145609,0.0030620814586491195,0.0018036442334450245,0.04995107917090191,0.0,0.0,0.0,0.0,0.0,8.0
1.0,28.085498585740666,0.007352468952549849,0.0038442281430105933,0.002623852140184553,0.060868829789860975,0.0,0.0,0.0,0.0,0.0,5.0
1.0,27.991725929026156,0.11087945799974151,0.036793385519651126,0.17774000161378609,0.1227206858257266,0.0,13.0,0.0,1.0,0.0,7.0
1.0,28.1137867137265,0.09763978992894655,0.031419993637665025,0.17853784924073055,0.1519990544863298,0.0,13.0,0.0,0.0,1.0,7.0
1.0,27.14877485050419,0.22527828454645246,0.038580891979131754,0.10798684104582627,0.6878215123650194,4.0,0.0,0.0,0.0,0.0,7.0
1.0,27.294126390071327,0.3071401766837969,0.2292585089102891,0.14910982699141034,4.2572672729061045,8.0,0.0,0.0,0.0,0.0,7.0
1.0,24.71858328620044,-0.017280766123844833,-0.007748574757049373,-0.006874597061092751,0.026122362280148706,0.0,0.0,0.0,0.0,0.0,5.0
1.0,25.796544106768643,0.010432527626170893,0.0043448753625792225,0.004288261060632001,0.08325661501861684,0.0,0.0,0.0,0.0,0.0,3.0
1.0,26.578274719912624,0.026206038635721157,0.010101286538785002,0.008704743681268473,0.1496178907569785,0.0,0.0,0.0,0.0,0.0,5.0
1.0,27.21430343441733,0.043495377418134244,0.01627191239153204,0.010281260026391044,0.20405814580886786,0.0,0.0,0.0,0.0,0.0,5.0
1.0,28.430031685684224,0.12297143447399327,0.07635916170503507,0.07817518664972663,1.0157006009732699,11.0,0.0,0.0,1.0,0.0,5.0
1.0,26.761749933992157,0.07173593311049342,0.04127878282866928,0.05301794481624436,0.02028281633210947,10.0,0.0,0.0,0.0,0.0,5.0
1.0,26.779098578187142,0.2832739331078714,0.11002716616590676,0.08750534234920095,0.06401618735331514,10.0,0.0,0.0,0.0,0.0,5.0
