TotalAssets,Debt,Equity,ProfitBeforeTax,ProfitAfterTax,Profit_Others,Revenue_Gross,Revenue_Net,D,Ind,Gender,Position,YearBirth,Edu,Nationality,Stock_Num,Manager,Year_StartWork,BoardMember,R,Control,CHAIR,CEO,Duality,CEO1,IndCode,BSIZE,FOR_No,FOR,FOR_Ind_No,FOR_Ind,FOR_Org_No,FOR_Org,DOM_Ind_No,DOM_Ind,DOM_Org_No,DOM_Org,GOV
1.27046E+11,46432604624,80613183362,13897332266,10921809197,-539456834,2.67735E+11,2.67735E+11,HNX,511,1,CTHĐQT/TGĐ,1956,1,1,93262,1,1992,1,1,0,0,0,1,0,511,5,864670,20.09435168,0,0,574000,14.06,577087,14.14,875220,21.44,0
3.47666E+11,1.55132E+11,1.92533E+11,16107162568,12779533855,-619025708,2.40981E+11,2.40981E+11,HOSE,513,1,CTHĐQT/TGĐ,1967,2,1,1500000,1,2014,1,1,0,0,0,1,0,513,5,6260,0.041733333,0,0,0,0,1500000,10,0,0,0
4.04703E+11,2.31187E+11,1.73516E+11,6254690755,5373635333,-1168750364,4.04671E+11,4.04671E+11,HOSE,513,1,CTHĐQT/TGĐ,1967,2,1,1500000,1,2014,1,1,0,0,0,1,0,513,5,2000,0.013333333,0,0,0,0,1500000,10,0,0,0
2.32831E+12,8.39066E+11,1.48924E+12,4.00683E+11,3.20039E+11,-2361609561,1.68718E+12,1.68718E+12,HOSE,404,1,CTHĐQT,1971,2,1,0,0,2002,1,0,0,0,,0,0,404,6,12874290,25.74858,0,0,9500000,19,0,0,25573456,51.15,0
2.68157E+12,7.8355E+11,1.89802E+12,4.91211E+11,3.92745E+11,-1929159922,2.32523E+12,2.31243E+12,HOSE,404,1,CTHĐQT,1971,2,1,0,0,2002,1,0,0,0,,0,0,404,5,22286320,27.8579,0,0,14367800,17.96,0,0,40917529,51.15,0
7.50977E+11,3.99933E+11,3.51044E+11,1.55599E+11,1.21858E+11,-1000352094,4.98041E+11,4.98041E+11,HNX,401,1,CTHĐQT,1946,1,1,3491936,0,2004,1,0,0,0,,0,0,401,5,811928,4.05964,0,0,0,0,8935362,43.58,0,0,0
9.73977E+11,6.53836E+11,3.20141E+11,5189820322,3296717033,-970646049,4.37401E+11,4.37401E+11,HNX,401,1,CTHĐQT,1946,1,1,5016636,0,2004,1,0,0,0,,0,0,401,5,631496,3.080468293,0,0,0,0,10460062,51.02,0,0,0
3.86932E+12,2.67256E+12,1.19676E+12,16510086892,13160582834,4793182815,3.99932E+12,3.89198E+12,HOSE,512,1,CTHĐQT,1972,1,1,0,0,2016,1,0,0,0,,0,0,512,5,2798156,2.700232943,0,0,0,0,0,0,52855849,51,51
3.81602E+12,2.57508E+12,1.24094E+12,65562185470,52449748376,5872031270,4.36326E+12,4.26519E+12,HOSE,512,1,CTHĐQT,1972,2,1,0,0,2016,1,0,0,0,,0,0,512,4,2411853,2.327448836,0,0,0,0,0,0,52849498,51,51
1.12779E+12,2.85376E+11,8.42417E+11,3.18538E+11,2.54255E+11,10405324273,1.58803E+12,1.58803E+12,HOSE,511,1,CTHĐQT,1963,1,1,2500,0,1990,1,0,0,0,,0,0,511,5,8896644,20.12815385,0,0,3037894,6.87,0,0,28731000,65,65
1.26499E+12,3.29247E+11,9.35747E+11,3.14602E+11,2.51144E+11,-130814306,1.56627E+12,1.56627E+12,HOSE,511,1,CTHĐQT,1963,1,1,2500,0,1990,1,0,0,0,,0,0,511,5,6756534,15.28627602,0,0,2898804,6.56,0,0,28731000,65,65
4.48329E+11,3.10243E+11,1.38086E+11,36198942881,28583635030,-222655844,8.27432E+11,8.27086E+11,HNX,516,1,CTHĐQT,1959,1,1,135000,0,2007,1,0,0,0,,0,0,516,5,682869,7.940337209,0,0,602126,7,1846636,21.48,0,0,0
5.1511E+11,2.92132E+11,2.22978E+11,36813519763,28943982570,1661415196,5.82379E+11,5.82379E+11,HNX,516,1,CTHĐQT,1959,1,1,162000,0,2007,1,0,0,0,,0,0,516,5,838369,6.128428363,0,0,0,0,862500,6.3,3360000,24.56,0
2.45277E+11,1.52965E+11,92311528703,60829718,60829718,14247029,85695834169,85695834169,HNX,709,1,CTHĐQT,1966,2,1,0,0,2014,1,0,0,0,,0,0,709,7,6970,0.079205211,0,0,0,0,5481866,62.29,0,0,0
2.10345E+11,1.5061E+11,59734453278,107805366,107805366,-256454060,82773692701,82773692701,HNX,709,1,CTHĐQT,1966,2,1,0,0,2014,1,0,0,0,,0,0,709,7,6970,0.079205211,0,0,0,0,7027125,79.84,0,0,0
1.68231E+13,8.86057E+12,7.96249E+12,1.87297E+12,1.51041E+12,1.26721E+11,2.85609E+13,2.85609E+13,HOSE,401,1,CTHĐQT,1959,1,1,3831654,0,2004,1,0,0,0,,0,0,401,7,35148092,44.85749729,0,0,19633148,26.01,0,0,16754822,22.2,0
1.61988E+13,7.72931E+12,8.46952E+12,8.90731E+11,7.10917E+11,33678508977,2.3733E+13,2.3733E+13,HOSE,401,1,CTHĐQT,1959,1,1,3901754,0,2004,1,0,0,0,,0,0,401,7,37759904,47.64356066,0,0,22163166,27.97,0,0,11192652,14.12,0
